case,house,E_load_kWh,E_pv_kWh,E_imp_kWh,E_exp_kWh,E_ch_kWh,E_dis_kWh,E_curt_kWh,Curt_frac_of_PV,E_end_kWh,E_min_kWh,E_max_kWh,Cost_total_EUR,Cost_min_step_EUR,Cost_max_step_EUR,P_net_grid_max_kW,P_net_grid_min_kW,P_imp_max_kW,P_exp_max_kW,E_simul_imp_exp_kWh,E_imp_kWh_COMM,E_exp_kWh_COMM,E_curt_kWh_COMM,Curt_frac_of_PV_COMM,Simul_frac_of_import
pv01_equal_export,A,690.7202500000001,5.879092369846269,682.4661576301537,0.0,0.0,2.375,0.0,0.0,0.0,0.0,2.305,170.61653940753843,0.0,0.16488325900688,2.63813214411008,0.0,2.63813214411008,0.0,0.0,,,,,
pv01_equal_export,B,242.03226949001305,5.879092369846269,233.78069647831865,0.0012663252914431,0.01285161908120885,2.386598586220791,0.0,0.0,0.0,0.0,2.347173751057994,58.44511080331508,-6.02771204027325e-05,0.10915396108584656,1.746463377373545,-0.0048221696322186,1.746463377373545,0.0048221696322186,0.0,,,,,
pv01_equal_export,C,117.94368032413539,5.879092369846269,109.70660041580847,0.003078953910643575,0.14290777034584137,2.503974262737122,0.0,0.0,0.0,0.0,2.3983810859447505,27.426496156256583,-3.368577015577125e-05,0.0900389986765211,1.4406239788243376,-0.0026948616124617,1.4406239788243376,0.0026948616124617,0.0,,,,,
pv01_equal_export,D,59.43046312832059,5.879092369846269,51.230261618376986,5.743523188444426e-05,0.5521376889312687,2.8733042642604687,0.0,0.0,0.0,0.0,2.448795398716546,12.807562532832652,-2.79958955528e-06,0.044598966970221254,0.7135834715235401,-0.0002239671644224,0.7135834715235401,0.0002239671644224,0.0,,,,,
pv01_equal_export,_COMMUNITY,1110.126662942469,23.516369479385077,1077.1837161426579,0.004402714433971119,0.7078970783583187,10.13887711321838,0.0,0.0,0.0,0.0,9.499350235719291,269.2957088999427,0.0,0.29741841545213943,4.758694647234231,0.0,4.758694647234231,0.0048221696322186,0.004402714433971119,1077.1837161426579,0.004402714433971119,0.0,0.0,4.0872456276418875e-06
pv02_weighted_export,A,690.7202500000001,9.406547791754035,678.9387022082459,0.0,0.0,2.375,0.0,0.0,0.0,0.0,2.5,169.73467555206147,0.0,0.163913214411008,2.622611430576128,0.0,2.622611430576128,-0.0,0.0,,,,,
pv02_weighted_export,B,242.03226949001305,7.054910843815524,232.61001123243813,0.00238940629515345,0.05398133277417065,2.4237181528286884,0.0,0.0,0.0,0.0,2.347173751057994,58.152383337794774,-5.9102631453907505e-05,0.10915396108584656,1.746463377373545,-0.0047282105163126,1.746463377373545,0.0047282105163126,0.0,,,,,
pv02_weighted_export,C,117.94368032413539,4.703273895877015,110.87150332933058,0.000728126325597575,0.055064356375739976,2.424695581629105,0.0,0.0,0.0,0.0,2.3983810859447505,27.717839426016365,-1.960531945246e-05,0.09034967408351256,1.445594785336201,-0.0015684255561968,1.445594785336201,0.0015684255561968,0.0,,,,,
pv02_weighted_export,D,59.43046312832059,2.3516369479385006,54.70648533584331,1.577275827096148e-05,0.0271116174663402,2.3994682347633716,0.0,0.0,0.0,-1.8260247115545337e-18,2.448795398716546,13.676620545322914,-7.886379135737913e-07,0.045530993191195655,0.7284958910591305,-6.30910330859033e-05,0.7284958910591305,6.30910330859033e-05,-7.745540320236444e-16,,,,,
pv02_weighted_export,_COMMUNITY,1110.126662942469,23.516369479385073,1077.126702105858,0.003133305379021987,0.13615730661625083,9.622881969221165,0.0,0.0,0.0,0.0,9.694350235719291,269.28151886119554,0.0061258880302704315,0.29741841545213943,4.758694647234231,0.0980142084843269,4.758694647234231,0.0047282105163126,0.003133305379021987,1077.126702105858,0.003133305379021987,0.0,0.0,2.90894782656131e-06
pv03_dyn_instant_export,A,690.7202500000001,14.369312876200912,673.9759371237991,0.0,0.0,2.375,0.0,0.0,0.0,0.0,2.305,168.49398428094977,0.0,0.16133115683021668,2.581298509283467,0.0,2.581298509283467,0.0,0.0,,,,,
pv03_dyn_instant_export,B,242.03226949001305,3.847897675713688,235.80937181429937,2.7755575615628907e-17,0.0,2.375,0.0,0.0,0.0,-2.921639538487254e-17,2.347173751057994,58.95234295357484,-1.3877787807814454e-18,0.10915396108584656,1.746463377373545,-1.1102230246251563e-16,1.746463377373545,1.1102230246251563e-16,0.0,,,,,
pv03_dyn_instant_export,C,117.94368032413539,3.5236381941762156,112.04504212995914,0.0,0.0,2.3750000000000004,0.0,0.0,0.0,0.0,2.3983810859447505,28.011260532489786,0.0,0.08953456935212645,1.4325531096340232,0.0,1.4325531096340232,0.0,0.0,,,,,
pv03_dyn_instant_export,D,59.43046312832059,1.775520733294246,55.279942395026325,8.673617379884035e-19,0.0,2.3749999999999996,0.0,0.0,0.0,-7.304098846218135e-18,2.448795398716546,13.819985598756581,-8.673617379884036e-20,0.04511543906352682,0.7218470250164292,-6.938893903907228e-18,0.7218470250164292,6.938893903907228e-18,-5.204170427930421e-18,,,,,
pv03_dyn_instant_export,_COMMUNITY,1110.126662942469,23.516369479385062,1077.110293463084,2.862293735361731e-17,0.0,9.499999999999998,0.0,0.0,0.0,0.0,9.499350235719291,269.277573365771,-1.3877787807814454e-18,0.29741841545213943,4.758694647234231,-1.1102230246251563e-16,4.758694647234231,1.1102230246251563e-16,8.673617379884035e-19,1077.110293463084,2.862293735361731e-17,0.0,0.0,8.0526733729346805e-22
pv04_dyn_mean_export,A,690.7202500000001,14.63187323403204,673.7355438366051,0.0,0.2273545706371187,2.5801874999999996,0.0,0.0,0.0,0.0,2.305,168.43388595915127,0.0,0.1931699164288303,3.090718662861285,0.0,3.090718662861285,-0.0,0.0,,,,,
pv04_dyn_mean_export,B,242.03226949001305,5.127090867428544,234.53127101010392,0.000944862370927425,0.00151307844619495,2.3763655532976906,0.0,0.0,0.0,0.0,2.347173751057994,58.632770509407436,-4.584322114960376e-05,0.10915396108584656,1.746463377373545,-0.0036674576919683,1.746463377373545,0.0036674576919683,0.0,,,,,
pv04_dyn_mean_export,C,117.94368032413539,2.4984600918504194,113.07035109255602,0.0,0.00134215662656965,2.37621129635548,0.0,0.0,0.0,0.0,2.3983810859447505,28.267587773139006,0.0,0.09093223120527137,1.454915699284342,0.0,1.454915699284342,0.0,0.0,,,,,
pv04_dyn_mean_export,D,59.43046312832059,1.2589452860740589,55.79658378123108,0.0,0.000676297277552675,2.3756103582929904,0.0,0.0,0.0,0.0,2.448795398716546,13.94914594530777,0.0,0.045819704785953944,0.7331152765752631,0.0,0.7331152765752631,0.0,0.0,,,,,
pv04_dyn_mean_export,_COMMUNITY,1110.126662942469,23.516369479385062,1077.133749720496,0.000944862370927425,0.23088610298743598,9.70837470794616,0.0,0.0,0.0,0.0,9.499350235719291,269.28339018700547,0.0,0.2974184154521395,4.758694647234232,0.0,4.758694647234232,0.0036674576919683,0.000944862370927425,1077.133749720496,0.000944862370927425,0.0,0.0,8.772005994358695e-07
pv05_equal_no_export,A,690.7202500000001,5.879092369846269,682.4661576301537,0.0,0.0,2.375,0.0,0.0,0.0,0.0,2.305,170.61653940753843,0.0,0.16488325900688,2.63813214411008,0.0,2.63813214411008,0.0,0.0,,,,,
pv05_equal_no_export,B,242.03226949001305,5.879092369846269,233.79229506453942,0.0,0.0,2.3749999999999996,0.01411794437265195,0.0024013816222828144,0.0,0.0,2.347173751057994,58.448073766134854,0.0,0.10915396108584656,1.746463377373545,0.0,1.746463377373545,0.0,0.0,,,,,
pv05_equal_no_export,C,117.94368032413539,5.879092369846269,109.70382165990411,0.0,0.14598672425648473,2.506753018641478,0.0,0.0,0.0,0.0,2.3983810859447505,27.425955414976027,0.0,0.0900389986765211,1.4406239788243376,0.0,1.4406239788243376,0.0,0.0,,,,,
pv05_equal_no_export,D,59.43046312832059,5.879092369846269,51.23021108578552,0.0,0.552193680722376,2.8733547968519435,1.4434407788442571e-06,2.455210240015333e-07,0.0,0.0,2.448795398716546,12.80755277144638,-4.336808689942018e-19,0.044598966970221254,0.7135834715235401,-6.938893903907228e-18,0.7135834715235401,0.0,-1.734723475976807e-18,,,,,
pv05_equal_no_export,_COMMUNITY,1110.126662942469,23.516369479385077,1077.1924854403828,0.0,0.6981804049788608,10.130107815493421,0.014119387813430794,0.000600406785826704,0.0,0.0,9.499350235719291,269.2981213600957,0.0,0.296160445526168,4.738567128418688,0.0,4.738567128418688,0.0,0.0,1077.1924854403828,0.0,0.014119387813430794,0.000600406785826704,0.0
pv06_weighted_no_export,A,690.7202500000001,9.406547791754035,678.9387022082459,0.0,0.0,2.3750000000000004,0.0,0.0,0.0,0.0,2.305,169.73467555206147,0.0,0.163913214411008,2.622611430576128,0.0,2.622611430576128,0.0,0.0,,,,,
