t,Load,PV,P_imp,P_exp,P_ch,P_dis,P_curt,E,c_grid,c_sell,P_pv_to_load,P_pv_to_bat,P_pv_to_exp
7540,0.315019711807935,0.59047528527822,0.0,-0.0,0.27545557347028504,0.0,0.0,1.349929881672524,0.24,0.06,0.315019711807935,0.27545557347028504,-0.0
7541,0.3141893367011475,0.5880175317494875,0.0,-0.0,0.27382819504833994,0.0,0.0,1.4149640779965047,0.24,0.06,0.3141893367011475,0.27382819504833994,-0.0
7542,0.25741628310382,0.5700759309897325,0.0,-0.0,0.3126596478859125,0.0,0.0,1.489220744369409,0.24,0.06,0.25741628310382,0.3126596478859125,-0.0
7543,0.06722962901612275,0.5212895234443725,0.0,-0.0,0.4540598944282497,0.0,0.0,1.5970599692961183,0.24,0.06,0.06722962901612275,0.4540598944282497,-0.0
7544,0.07239640745835,0.4323188457042225,0.0,-0.0,0.3599224382458725,0.0,0.0,1.682541548379513,0.24,0.06,0.07239640745835,0.3599224382458725,-0.0
7545,0.0603098364595685,0.3483865626979725,0.0,-0.0,0.28807672623840386,0.0,0.0,1.750959770861134,0.24,0.06,0.0603098364595685,0.28807672623840386,-0.0
7546,0.085221089663164,0.269246899072755,0.0,-0.0,0.184025809409591,0.0,0.0,1.7946659005959118,0.24,0.06,0.085221089663164,0.184025809409591,-0.0
7547,0.09158729881519374,0.18150509809696824,0.0,-0.0,0.08991779928177435,0.0,0.0,1.8160213779253331,0.24,0.06,0.09158729881519374,0.08991779928177435,-0.0
7548,0.05677305359732975,0.12436232855391476,0.0,-0.0,0.06758927495658495,0.0,0.0,1.8320738307275222,0.24,0.06,0.05677305359732975,0.06758927495658495,-0.0
7549,0.0699052821379905,0.08540693512348875,0.0,-0.0,0.015501652985498104,0.0,0.0,1.835755473311578,0.24,0.06,0.0699052821379905,0.015501652985498104,-0.0
7550,0.075717907885496,0.07483859494993475,0.0,0.0,0.0,0.0008793129355612467,0.0,1.8355240751706408,0.24,0.06,0.07483859494993475,0.0,0.0
7551,0.05378985413961525,0.069062874157411,0.0,-0.0,0.01527302001779575,0.0,0.0,1.8391514174248673,0.24,0.06,0.05378985413961525,0.01527302001779575,-0.0
7552,0.072796217694951,0.06488469315856425,0.0,0.0,0.0,0.007911524536386744,0.0,1.8370694372837129,0.24,0.06,0.06488469315856425,0.0,0.0
7553,0.084821279426563,0.06254982730626725,0.0,0.0,0.0,0.022271452120295757,0.0,1.8312085288310036,0.24,0.06,0.06254982730626725,0.0,0.0
7554,0.07790148687000875,0.067588222040171,0.0,0.0,0.0,0.010313264829837757,0.0,1.82849451177052,0.24,0.06,0.067588222040171,0.0,0.0
7555,0.094816535341586,0.07827944989016175,0.0,0.0,0.0,0.016537085451424252,0.0,1.82414264717804,0.24,0.06,0.07827944989016175,0.0,0.0
7556,0.11062441700411425,0.08430094603555875,0.0,0.0,0.0,0.0263234709685555,0.0,1.8172154179757884,0.24,0.06,0.08430094603555875,0.0,0.0
7557,0.06639925390933625,0.0999076809430165,0.0,-0.0,0.033508427033680246,0.0,0.0,1.8251736693962874,0.24,0.06,0.06639925390933625,0.033508427033680246,-0.0
7558,0.07424168547343125,0.09880169185508625,0.0,-0.0,0.024560006381654897,0.0,0.0,1.8310066709119306,0.24,0.06,0.07424168547343125,0.024560006381654897,-0.0
7559,0.06910566166478875,0.0587403093367305,0.010365352328058249,0.0,0.0,0.0,0.0,1.8310066709119306,0.24,0.06,0.0587403093367305,0.0,0.0
7560,0.06440020272633175,0.030230368403422,0.03416983432290975,0.0,0.0,0.0,0.0,1.8310066709119306,0.24,0.06,0.030230368403421998,0.0,0.0
7561,0.08823504375446325,0.020645129641361323,0.06758991411310193,0.0,0.0,0.0,0.0,1.8310066709119306,0.24,0.06,0.020645129641361323,0.0,0.0
7562,0.08217638093828,0.0130260937022875,0.06915028723599251,0.0,0.0,0.0,0.0,1.8310066709119306,0.24,0.06,0.013026093702287495,0.0,0.0
7563,0.15574146447284826,0.006144383821833725,0.14959708065101454,0.0,0.0,0.0,0.0,1.8310066709119306,0.24,0.06,0.0061443838218337155,0.0,0.0
7564,0.8329277413740425,0.0004915507057466975,0.8324361906682958,0.0,0.0,0.0,0.0,1.8310066709119306,0.24,0.06,0.0004915507057466906,0.0,0.0
7565,0.6703587482453925,0.0,0.6703587482453925,0.0,0.0,0.0,0.0,1.8310066709119306,0.24,0.06,0.0,0.0,0.0
7566,0.56951430472121,0.0,0.56951430472121,0.0,0.0,0.0,0.0,1.8310066709119306,0.24,0.06,0.0,0.0,0.0
