house,pwl_degradation_cost_EUR,battery_throughput_kWh,bin_hours_0,bin_hours_1,bin_hours_2
Apt1,27.86683374287711,724.6807448665808,5035.25,3068.0,656.75
Apt2,16.516545339833637,371.8182409861395,6319.75,2389.5,50.75
Apt3,8.776596290087205,189.8458330443817,6859.25,1850.5,50.25
Apt4,21.01152543507011,476.27237221987684,5940.75,2715.25,104.0
Apt5,32.82794837765288,837.6039013519925,4986.75,3228.0,545.25
Apt6,17.276308320433465,409.96490439947735,5194.25,3254.0,311.75
Apt7,52.822368661778775,1304.302314673112,4858.5,3208.25,693.25
Apt8,6.048287946659689,132.30191242641845,5542.5,3128.75,88.75
