house,pwl_degradation_cost_EUR,battery_throughput_kWh,bin_hours_0,bin_hours_1,bin_hours_2
Apt1,9.941790090972132,243.35813641925262,1493.5,544.0,122.5
Apt2,4.5962475680443875,104.54263571690778,1410.25,720.0,29.75
Apt3,2.889351871173055,66.71597786389542,1442.25,670.75,47.0
Apt4,5.442858731180652,127.62659456537169,1255.5,854.0,50.5
Apt5,10.604984428702497,254.33953419265197,1506.5,569.0,84.5
Apt6,7.914063291222895,195.5570576246296,1100.5,905.5,154.0
Apt7,11.422898851722614,252.7444683874216,1669.25,464.25,26.5
Apt8,2.393505854064739,56.95865840457275,1030.25,1085.0,44.75
