,SelfCons,SelfSuff,Export/PV,Import/Load,Fairness,Jain,FairnessUsed,JainUsed
equal,0.748505237115725,0.3699914451620697,0.2514947628842699,0.6300085548379277,0.35001771588117236,0.7802434170420836,0.5078013095772016,0.8609509411286882
mean_load,0.748505237115725,0.3699914451620697,0.2514947628842699,0.6300085548379277,0.9999999999999933,0.9999999999995455,0.7715220155887377,0.9663689500504111
instant_load,0.748505237115725,0.3699914451620697,0.2514947628842699,0.6300085548379277,0.6240467187927596,0.9138869492225123,0.6478992251502802,0.9236595643178984
fixed_shares,0.748505237115725,0.3699914451620697,0.2514947628842699,0.6300085548379277,0.7638292854650963,0.9641487047850745,0.6704017568905096,0.9324675879010424
hierarchical,0.748505237115725,0.3699914451620697,0.2514947628842699,0.6300085548379277,0.19321786156926546,0.6973833279190121,0.517652444996497,0.8657213324593389
dynamic_windows,0.748505237115725,0.3699914451620697,0.2514947628842699,0.6300085548379277,0.7106352186041907,0.9471299576290411,0.5676690521435591,0.8891997539250418
