,PV_total,Load_total,Alloc_total__equal,Alloc_total__mean_load,Alloc_total__instant_load,Alloc_total__fixed_shares,Alloc_total__hierarchical,Alloc_total__dynamic_windows
0,0.0,1.173678693799812,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,1.1002282457026522,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,1.0718724735375722,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.9340862890401542,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.9268281955141667,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.9497524062961279,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.9538735271964754,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.9892721876462012,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,1.0047417683392987,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.7765970559652522,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.8019696286726171,0.0,0.0,0.0,0.0,0.0,0.0
11,0.0,0.7682248269381079,0.0,0.0,0.0,0.0,0.0,0.0
12,0.0,0.7612742797479705,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0,0.7048375213034699,0.0,0.0,0.0,0.0,0.0,0.0
14,0.0,0.6842934260688999,0.0,0.0,0.0,0.0,0.0,0.0
15,0.0,0.685824857661559,0.0,0.0,0.0,0.0,0.0,0.0
16,0.0,0.6737382866627765,0.0,0.0,0.0,0.0,0.0,0.0
17,0.0,0.6736460227620239,0.0,0.0,0.0,0.0,0.0,0.0
18,0.0,0.696066150645259,0.0,0.0,0.0,0.0,0.0,0.0
19,0.0,0.6547142828650333,0.0,0.0,0.0,0.0,0.0,0.0
20,0.0,0.6772574292826083,0.0,0.0,0.0,0.0,0.0,0.0
21,0.0,0.6707249239832597,0.0,0.0,0.0,0.0,0.0,0.0
22,0.0,0.6496887546113347,0.0,0.0,0.0,0.0,0.0,0.0
23,0.0,0.6413598031971716,0.0,0.0,0.0,0.0,0.0,0.0
24,0.0,0.6132808227343541,0.0,0.0,0.0,0.0,0.0,0.0
