t,Load,PV,P_imp,P_exp,P_ch,P_dis,P_curt,E,c_grid,c_sell,P_simul_imp_exp
2010,1.273053616420776,0.0,1.273053616420776,0.0,0.0,0.0,0.0,0.0574505691147344,0.25,0.05,0.0
2011,1.1076608127105554,0.0,1.1076608127105554,0.0,0.0,0.0,0.0,0.0574505691147344,0.25,0.05,0.0
2012,1.1146622645175754,0.0,1.1146622645175754,0.0,0.0,3.469446951953614e-18,0.0,0.0574505691147344,0.25,0.05,0.0
2013,0.9822584326955569,0.0,0.9822584326955569,0.0,0.0,0.0,0.0,0.0574505691147344,0.25,0.05,0.0
2014,0.8498270828459095,0.0,0.8498270828459095,0.0,0.0,0.0,0.0,0.0574505691147344,0.25,0.05,0.0
2015,0.9398718018645372,0.0,0.9398718018645372,0.0,0.0,0.0,0.0,0.0574505691147344,0.25,0.05,0.0
2016,0.8341371505998049,0.0,0.8341371505998049,0.0,0.0,0.0,0.0,0.0574505691147344,0.25,0.05,0.0
2017,0.9265731144355099,0.0,0.9265731144355099,0.0,0.0,0.0,0.0,0.0574505691147344,0.25,0.05,0.0
2018,0.7422660139266363,0.0,0.7422660139266363,0.0,0.0,0.0,0.0,0.0574505691147344,0.25,0.05,0.0
2019,1.079988368421782,0.0,1.079988368421782,0.0,0.0,0.0,0.0,0.0574505691147344,0.25,0.05,0.0
2020,0.9190801864955628,0.0,0.9190801864955628,0.0,0.0,0.0,0.0,0.0574505691147344,0.25,0.05,0.0
2021,0.830154048474174,0.0,0.830154048474174,0.0,0.0,0.0,0.0,0.0574505691147344,0.25,0.05,0.0
2022,0.8947872258318302,0.0,0.8947872258318302,0.0,0.0,0.0,0.0,0.0574505691147344,0.25,0.05,0.0
2023,0.8062032294261143,0.0,0.8062032294261143,0.0,0.0,0.0,0.0,0.0574505691147344,0.25,0.05,0.0
2024,0.8338073821208358,0.0,0.8338073821208358,0.0,0.0,0.0,0.0,0.0574505691147344,0.25,0.05,0.0
2025,0.8009589160223753,0.0,0.8009589160223753,0.0,0.0,0.0,0.0,0.0574505691147344,0.25,0.05,0.0
2026,0.926048946962457,0.0,0.926048946962457,0.0,0.0,0.0,0.0,0.0574505691147344,0.25,0.05,0.0
2027,0.7943160337520644,0.0,0.7943160337520644,0.0,0.0,0.0,0.0,0.0574505691147344,0.25,0.05,0.0
2028,1.033677441656068,0.0,1.033677441656068,0.0,0.0,0.0,0.0,0.0574505691147344,0.25,0.05,0.0
2029,0.9900975112626866,0.0,0.9900975112626866,0.0,0.0,0.0,0.0,0.0574505691147344,0.25,0.05,0.0
2030,0.8782777979692399,0.0,0.8782777979692399,0.0,0.0,0.0,0.0,0.0574505691147344,0.25,0.05,0.0
2031,0.8669613866907128,0.0,0.8669613866907128,0.0,0.0,0.0,0.0,0.0574505691147344,0.25,0.05,0.0
2032,0.7843008041404802,0.0,0.7843008041404802,0.0,0.0,0.0,0.0,0.0574505691147344,0.25,0.05,0.0
2033,0.820193942226039,0.0,0.820193942226039,0.0,0.0,0.0,0.0,0.0574505691147344,0.25,0.05,0.0
2034,0.8247196174479651,0.0,0.8247196174479651,0.0,0.0,0.0,0.0,0.0574505691147344,0.25,0.05,0.0
2035,1.0366181630318911,0.0,1.0366181630318911,0.0,0.0,0.0,0.0,0.0574505691147344,0.25,0.05,0.0
2036,0.9721913934296874,0.0,0.9721913934296874,0.0,0.0,0.0,0.0,0.0574505691147344,0.25,0.05,0.0
2037,0.9433924257891984,0.0,0.9433924257891984,0.0,0.0,0.0,0.0,0.0574505691147344,0.25,0.05,0.0
2038,0.9012588026045694,0.0,0.9012588026045694,0.0,0.0,0.0,0.0,0.0574505691147344,0.25,0.05,0.0
2039,0.859714682130069,0.0,0.859714682130069,0.0,0.0,0.0,0.0,0.0574505691147344,0.25,0.05,0.0
2040,0.9353214031121447,0.0,0.9353214031121447,0.0,0.0,0.0,0.0,0.0574505691147344,0.25,0.05,0.0
2041,1.1254627218164346,0.0,1.1254627218164346,0.0,0.0,0.0,0.0,0.0574505691147344,0.25,0.05,0.0
2042,1.019676720107852,0.0,1.019676720107852,0.0,0.0,0.0,0.0,0.0574505691147344,0.25,0.05,0.0
2043,0.9490247032469935,0.0,0.9490247032469935,0.0,0.0,0.0,0.0,0.0574505691147344,0.25,0.05,0.0
2044,0.9398894567661984,0.0,0.9398894567661984,0.0,0.0,0.0,0.0,0.0574505691147344,0.25,0.05,0.0
2045,1.9210806945103711,0.0,1.9210806945103711,0.0,0.0,0.0,0.0,0.0574505691147344,0.25,0.05,0.0
2046,1.835807858087816,0.0,1.835807858087816,0.0,0.0,0.0,0.0,0.0574505691147344,0.25,0.05,0.0
2047,1.2544398183658114,0.0,1.2544398183658114,0.0,0.0,0.0,0.0,0.0574505691147344,0.25,0.05,0.0
2048,1.366988993012039,0.0,1.366988993012039,0.0,0.0,1.3877787807814457e-17,0.0,0.0574505691147344,0.25,0.05,0.0
2049,1.6511146263785876,0.0039324056459733,1.6471822207326143,0.0,0.0,0.0,0.0,0.0574505691147344,0.25,0.05,0.0
2050,1.4325652802432103,0.0119201046143571,1.420645175628853,0.0,0.0,0.0,0.0,0.0574505691147344,0.25,0.05,0.0
2051,1.5114988673114156,0.0296159300212384,1.4818829372901772,0.0,0.0,0.0,0.0,0.0574505691147344,0.25,0.05,0.0
2052,1.5173340398404205,0.029001491639054997,1.4883325482013654,0.0,0.0,0.0,0.0,0.0574505691147344,0.25,0.05,0.0
2053,1.3000979336072738,0.0401842701947924,1.2599136634124812,0.0,0.0,0.0,0.0,0.0574505691147344,0.25,0.05,0.0
2054,1.5040223064112714,0.07016886324534101,1.4338534431659302,0.0,0.0,0.0,0.0,0.0574505691147344,0.25,0.05,0.0
2055,1.4343848447904528,0.0684484357752275,1.365936409015225,0.0,0.0,0.0,0.0,0.0574505691147344,0.25,0.05,0.0
2056,1.2653095452695178,0.0485406321924863,1.2167689130770312,0.0,0.0,0.0,0.0,0.0574505691147344,0.25,0.05,0.0
2057,1.9352364008135745,0.04165892231203241,1.8935774785015418,0.0,0.0,0.0,0.0,0.0574505691147344,0.25,0.05,0.0
2058,2.2068336869629395,0.04276491139996249,2.164068775562977,0.0,0.0,0.0,0.0,0.0574505691147344,0.25,0.05,0.0
2059,2.1961406541038695,0.0653762438643106,2.130764410239559,0.0,0.0,0.0,0.0,0.0574505691147344,0.25,0.05,0.0
2060,1.859138085816517,0.062181164276956996,1.7969569215395598,0.0,0.0,0.0,0.0,0.0574505691147344,0.25,0.05,0.0
2061,1.9818787141827154,0.06488469315856402,1.916994021024151,0.0,0.0,0.0,0.0,0.0574505691147344,0.25,0.05,0.0
2062,1.9031188906860779,0.13480778105103183,1.7683111096350455,0.0,0.0,0.0,0.0,0.0574505691147344,0.25,0.05,0.0
2063,3.2727412817658648,0.07766501150797801,3.195076270257887,0.0,0.0,0.0,0.0,0.0574505691147344,0.25,0.05,0.0
2064,3.43678839111476,0.06771110971660749,3.369077281398152,0.0,0.0,0.0,0.0,0.0574505691147344,0.25,0.05,0.0
2065,2.977454445995313,0.06807977274591749,2.909374673249395,0.0,0.0,0.0,0.0,0.0574505691147344,0.25,0.05,0.0
2066,2.8161261361858574,0.059969186101097,2.7561569500847605,0.0,0.0,0.0,0.0,0.0574505691147344,0.25,0.05,0.0
2067,2.7105761210331,0.0732410551562579,2.637335065876842,0.0,0.0,0.0,0.0,0.0574505691147344,0.25,0.05,0.0
2068,2.6770688086607675,0.0513670487505297,2.6257017599102372,0.0,0.0,0.0,0.0,0.0574505691147344,0.25,0.05,0.0
2069,2.271391946724017,0.048540632192486305,2.2228513145315305,0.0,0.0,0.0,0.0,0.0574505691147344,0.25,0.05,0.0
2070,2.1547890743471645,0.0454684402815693,2.1093206340655946,0.0,0.0,0.0,0.0,0.0574505691147344,0.25,0.05,0.0
2071,1.918123544569538,0.0834407323005017,1.8346828122690357,0.0,0.0,0.0,0.0,0.0574505691147344,0.25,0.05,0.0
2072,2.404991041691052,0.19514563018143902,2.2098454115096127,0.0,0.0,0.0,0.0,0.0574505691147344,0.25,0.05,0.0
2073,2.732869290627475,0.1855603914193782,2.5473088992080966,0.0,0.0,0.0,0.0,0.0574505691147344,0.25,0.05,0.0
2074,3.1453416606085076,0.1763438156866278,2.96899784492188,0.0,0.0,0.0,0.0,0.0574505691147344,0.25,0.05,0.0
2075,3.0723699894686933,0.1903530108004088,2.8820169786682843,0.0,0.0,0.0,0.0,0.0574505691147344,0.25,0.05,0.0
2076,3.029048321378206,0.1797846706268548,2.8492636507513507,0.0,0.0,0.0,0.0,0.0574505691147344,0.25,0.05,0.0
2077,2.6475267520677974,0.1566817874567598,2.4908449646110378,0.0,0.0,0.0,0.0,0.0574505691147344,0.25,0.05,0.0
2078,2.48260093128259,0.139600400432062,2.3430005308505275,0.0,0.0,0.0,0.0,0.0574505691147344,0.25,0.05,0.0
2079,2.5563651838722397,0.11576019120334739,2.4406049926688924,0.0,0.0,0.0,0.0,0.0574505691147344,0.25,0.05,0.0
2080,2.572929093763422,0.09388618479761901,2.4790429089658024,0.0,0.0,0.0,0.0,0.0574505691147344,0.25,0.05,0.0
