t,Equal,Proportional,InstantLoad
0,1.161469104266692,1.161469104266692,1.161469104266692
1,1.173678693799812,1.173678693799812,1.173678693799812
2,1.1002282457026522,1.1002282457026522,1.1002282457026522
3,1.0718724735375722,1.0718724735375722,1.0718724735375722
4,0.9340862890401542,0.9340862890401542,0.9340862890401542
5,0.9268281955141667,0.9268281955141667,0.9268281955141667
6,0.9497524062961279,0.9497524062961279,0.9497524062961279
7,0.9538735271964754,0.9538735271964754,0.9538735271964754
8,0.9892721876462012,0.9892721876462012,0.9892721876462012
9,1.0047417683392987,1.0047417683392987,1.0047417683392987
10,0.7765970559652522,0.7765970559652522,0.7765970559652522
11,0.8019696286726171,0.8019696286726171,0.8019696286726171
12,0.7682248269381079,0.7682248269381079,0.7682248269381079
13,0.7612742797479705,0.7612742797479705,0.7612742797479705
14,0.7048375213034699,0.7048375213034699,0.7048375213034699
15,0.6842934260688999,0.6842934260688999,0.6842934260688999
16,0.685824857661559,0.685824857661559,0.685824857661559
17,0.6737382866627765,0.6737382866627765,0.6737382866627765
18,0.6736460227620239,0.6736460227620239,0.6736460227620239
19,0.696066150645259,0.696066150645259,0.696066150645259
20,0.6547142828650333,0.6547142828650333,0.6547142828650333
21,0.6772574292826083,0.6772574292826083,0.6772574292826083
22,0.6707249239832597,0.6707249239832597,0.6707249239832597
23,0.6496887546113347,0.6496887546113347,0.6496887546113347
24,0.6413598031971716,0.6413598031971716,0.6413598031971716
25,0.6132808227343541,0.6132808227343541,0.6132808227343541
26,0.7636864099462579,0.7636864099462579,0.7636864099462579
27,0.771098276640168,0.771098276640168,0.771098276640168
28,0.6490868535245695,0.6490868535245695,0.6490868535245695
29,0.671383962873467,0.671383962873467,0.671383962873467
30,0.6642771224807762,0.6642771224807762,0.6642771224807762
31,0.6729806837852412,0.6729806837852412,0.6729806837852412
32,0.6954837412299992,0.6954837412299992,0.6954837412299992
33,0.6816749107504767,0.6816749107504767,0.6816749107504767
34,0.6946180637891347,0.6946180637891347,0.6946180637891347
35,0.6512386101771032,0.6512386101771032,0.6512386101771032
36,0.6301252374127566,0.6301252374127566,0.6301252374127566
37,0.7902437477334694,0.7902437477334694,0.7902437477334694
38,0.7910837237713562,0.7910837237713562,0.7910837237713562
39,0.7863922590549945,0.7863922590549945,0.7863922590549947
40,0.673489690356369,0.673489690356369,0.673489690356369
41,0.5229638595246835,0.5229638595246835,0.5229638595246835
42,0.7671463289059856,0.7671463289059856,0.7671463289059856
43,0.6203197651045689,0.6203197651045688,0.6203197651045689
44,0.24886073575487178,0.2488607357548719,0.248860735754872
45,0.10318918884604367,0.10318918884604378,0.10318918884604378
46,1.6633966041276642,1.663396604127664,1.663396604127664
47,1.5219254529132398,1.5219254529132398,1.5219254529132398
48,1.2782451697143908,1.278245169714391,1.2782451697143908
49,1.2174486197329166,1.2174486197329166,1.2174486197329166
50,1.3935797011256326,1.3935797011256328,1.3935797011256326
51,1.2611155512082686,1.2611155512082683,1.2611155512082683
52,0.6655794587218771,0.6655794587218771,0.6655794587218771
53,0.6355249741385223,0.6355249741385225,0.6355249741385223
54,0.468316210983585,0.468316210983585,0.4683162109835852
55,0.44443847654364155,0.44443847654364155,0.44443847654364155
56,1.0226723407744496,1.0226723407744496,1.0226723407744496
57,1.1536835661854257,1.1536835661854257,1.1536835661854257
58,1.2843808591750543,1.2843808591750543,1.2843808591750543
59,1.4974588485285967,1.4974588485285965,1.4974588485285967
60,1.5017924315810744,1.5017924315810744,1.5017924315810744
61,1.3947771997006064,1.3947771997006062,1.3947771997006062
62,0.9347255089028809,0.9347255089028808,0.9347255089028808
63,1.0462429871596841,1.046242987159684,1.046242987159684
64,0.22510916342273227,0.22510916342273227,0.22510916342273224
