,PV_total,Load_total,Alloc_total__Equal,Alloc_total__Proportional,Alloc_total__InstantLoad,Alloc_total__FixedCustom,Alloc_total__Hierarchical(ILxFix)
0,0.0,1.161469104266692,0.0,0.0,0.0,0.0,0.0
1,0.0,1.173678693799812,0.0,0.0,0.0,0.0,0.0
2,0.0,1.1002282457026522,0.0,0.0,0.0,0.0,0.0
3,0.0,1.0718724735375722,0.0,0.0,0.0,0.0,0.0
4,0.0,0.9340862890401542,0.0,0.0,0.0,0.0,0.0
5,0.0,0.9268281955141667,0.0,0.0,0.0,0.0,0.0
6,0.0,0.9497524062961279,0.0,0.0,0.0,0.0,0.0
7,0.0,0.9538735271964754,0.0,0.0,0.0,0.0,0.0
8,0.0,0.9892721876462012,0.0,0.0,0.0,0.0,0.0
9,0.0,1.0047417683392987,0.0,0.0,0.0,0.0,0.0
10,0.0,0.7765970559652522,0.0,0.0,0.0,0.0,0.0
11,0.0,0.8019696286726171,0.0,0.0,0.0,0.0,0.0
12,0.0,0.7682248269381079,0.0,0.0,0.0,0.0,0.0
13,0.0,0.7612742797479705,0.0,0.0,0.0,0.0,0.0
14,0.0,0.7048375213034699,0.0,0.0,0.0,0.0,0.0
15,0.0,0.6842934260688999,0.0,0.0,0.0,0.0,0.0
16,0.0,0.685824857661559,0.0,0.0,0.0,0.0,0.0
17,0.0,0.6737382866627765,0.0,0.0,0.0,0.0,0.0
18,0.0,0.6736460227620239,0.0,0.0,0.0,0.0,0.0
19,0.0,0.696066150645259,0.0,0.0,0.0,0.0,0.0
20,0.0,0.6547142828650333,0.0,0.0,0.0,0.0,0.0
21,0.0,0.6772574292826083,0.0,0.0,0.0,0.0,0.0
22,0.0,0.6707249239832597,0.0,0.0,0.0,0.0,0.0
23,0.0,0.6496887546113347,0.0,0.0,0.0,0.0,0.0
24,0.0,0.6413598031971716,0.0,0.0,0.0,0.0,0.0
25,0.0,0.6132808227343541,0.0,0.0,0.0,0.0,0.0
26,0.0,0.7636864099462579,0.0,0.0,0.0,0.0,0.0
27,0.0,0.771098276640168,0.0,0.0,0.0,0.0,0.0
28,0.0,0.6490868535245695,0.0,0.0,0.0,0.0,0.0
29,0.0,0.671383962873467,0.0,0.0,0.0,0.0,0.0
30,0.0,0.6642771224807762,0.0,0.0,0.0,0.0,0.0
31,0.0,0.6729806837852412,0.0,0.0,0.0,0.0,0.0
32,0.0,0.6954837412299992,0.0,0.0,0.0,0.0,0.0
33,0.0,0.6816749107504767,0.0,0.0,0.0,0.0,0.0
34,0.0256784438508842,0.720296507640019,0.0256784438508842,0.0256784438508842,0.0256784438508842,0.0256784438508842,0.025678443850884195
35,0.0586935859448783,0.7099321961219814,0.05869358594487829,0.05869358594487831,0.05869358594487829,0.05869358594487831,0.0586935859448783
36,0.07776900137696399,0.7078942387897206,0.07776900137696399,0.07776900137696399,0.07776900137696399,0.07776900137696399,0.07776900137696399
37,0.0946434073361163,0.8848871550695857,0.0946434073361163,0.0946434073361163,0.09464340733611631,0.0946434073361163,0.0946434073361163
38,0.10931680382233601,0.9004005275936922,0.10931680382233602,0.10931680382233602,0.10931680382233601,0.10931680382233602,0.10931680382233602
39,0.1217891908356226,0.9081814498906172,0.12178919083562262,0.12178919083562262,0.1217891908356226,0.12178919083562262,0.12178919083562259
40,0.1342615778489094,0.8077512682052784,0.1342615778489094,0.13426157784890944,0.1342615778489094,0.1342615778489094,0.1342615778489094
41,0.14233194591633,0.6652958054410135,0.14233194591633,0.14233194591633,0.14233194591633,0.14233194591633,0.14233194591633
42,0.1540706631053056,0.9212169920112911,0.1540706631053056,0.1540706631053056,0.1540706631053056,0.1540706631053056,0.1540706631053056
43,0.2956689391973249,0.9159887043018937,0.2956689391973249,0.29566893919732495,0.2956689391973249,0.2956689391973249,0.2956689391973249
