,Fairness,Jain
Equal,0.5376509059941973,0.8752650015693524
Proportional,0.709116555398948,0.946603259709539
InstantLoad,0.6415300027279034,0.9210926124421075
FixedCustom,0.6565517077973149,0.9270952508962763
Hierarchical(ILxFix),0.5041023867582546,0.8591486290565684
