case,E_load_kWh,E_pv_kWh,E_imp_kWh,E_exp_kWh,E_ch_kWh,E_dis_kWh,E_curt_kWh,Curt_frac_of_PV,E_end_kWh,E_min_kWh,E_max_kWh,Cost_total_EUR,Cost_min_step_EUR,Cost_max_step_EUR,P_net_grid_max_kW,P_net_grid_min_kW,P_imp_max_kW,P_exp_max_kW,E_simul_imp_exp_kWh,E_imp_kWh_COMM,E_exp_kWh_COMM,E_curt_kWh_COMM,Curt_frac_of_PV_COMM,Simul_frac_of_import
pv03_dyn_instant_export,1110.126662942469,23.516369479385062,1077.110293463084,2.862293735361731e-17,0.0,9.499999999999998,0.0,0.0,0.0,0.0,9.499350235719291,269.277573365771,-1.3877787807814454e-18,0.29741841545213943,4.758694647234231,-1.1102230246251563e-16,4.758694647234231,1.1102230246251563e-16,8.673617379884035e-19,1077.110293463084,2.862293735361731e-17,0.0,0.0,8.0526733729346805e-22
pv07_dyn_instant_no_export,1110.126662942469,23.516369479385062,1077.110293463084,0.0,0.0,9.5,0.0,0.0,0.0,0.0,9.499350235719291,269.277573365771,0.0,0.29741841545213943,4.758694647234231,0.0,4.758694647234231,0.0,0.0,1077.110293463084,0.0,0.0,0.0,0.0
pv08_dyn_mean_no_export,1110.126662942469,23.516369479385062,1077.1147698578052,0.0,0.0,9.5,0.004476394721244525,0.00019035228737873954,0.0,0.0,9.499350235719291,269.2786924644513,0.0,0.2974184154521395,4.758694647234232,0.0,4.758694647234232,0.0,0.0,1077.1147698578052,0.0,0.004476394721244525,0.00019035228737873954,0.0
pv06_weighted_no_export,1110.126662942469,23.516369479385073,1077.1238885326677,0.0,0.13927483923700115,9.625695542411393,1.5772758271475826e-05,6.707140013811463e-07,0.0,0.0,9.499350235719291,269.2809721331669,0.0,0.29741841545213943,4.758694647234231,0.0,4.758694647234231,0.0,0.0,1077.1238885326677,0.0,1.5772758271475826e-05,6.707140013811463e-07,0.0
pv02_weighted_export,1110.126662942469,23.516369479385073,1077.126702105858,0.003133305379021987,0.13615730661625083,9.622881969221165,0.0,0.0,0.0,0.0,9.694350235719291,269.28151886119554,0.0061258880302704315,0.29741841545213943,4.758694647234231,0.0980142084843269,4.758694647234231,0.0047282105163126,0.003133305379021987,1077.126702105858,0.003133305379021987,0.0,0.0,2.90894782656131e-06
pv04_dyn_mean_export,1110.126662942469,23.516369479385062,1077.133749720496,0.000944862370927425,0.23088610298743598,9.70837470794616,0.0,0.0,0.0,0.0,9.499350235719291,269.28339018700547,0.0,0.2974184154521395,4.758694647234232,0.0,4.758694647234232,0.0036674576919683,0.000944862370927425,1077.133749720496,0.000944862370927425,0.0,0.0,8.772005994358695e-07
pv01_equal_export,1110.126662942469,23.516369479385077,1077.1837161426579,0.004402714433971119,0.7078970783583187,10.13887711321838,0.0,0.0,0.0,0.0,9.499350235719291,269.2957088999427,0.0,0.29741841545213943,4.758694647234231,0.0,4.758694647234231,0.0048221696322186,0.004402714433971119,1077.1837161426579,0.004402714433971119,0.0,0.0,4.0872456276418875e-06
pv05_equal_no_export,1110.126662942469,23.516369479385077,1077.1924854403828,0.0,0.6981804049788608,10.130107815493421,0.014119387813430794,0.000600406785826704,0.0,0.0,9.499350235719291,269.2981213600957,0.0,0.296160445526168,4.738567128418688,0.0,4.738567128418688,0.0,0.0,1077.1924854403828,0.0,0.014119387813430794,0.000600406785826704,0.0
