case,house,E_imp_kWh,E_exp_kWh,E_ch_kWh,E_dis_kWh,Cost_total_EUR,E_min_kWh,E_max_kWh,E_end_kWh
case_1house,1,385.3045770633064,0.0,0.0,1.4250000000000007,96.3261442658266,0.5,1.7947368421052632,0.5
case_2houses,A,385.3045770633064,0.0,0.0,1.4250000000000007,96.3261442658266,0.5,1.7947368421052632,0.5
case_2houses,B,385.96957706330636,0.0,0.0,0.76,96.49239426582659,0.2,0.22,0.2
