t,Load,PV,P_imp,P_exp,P_ch,P_dis,P_curt,E,c_grid,c_sell,P_simul_imp_exp
30,1.623725316023624,0.0,1.623725316023624,0.0,0.0,0.0,0.0,0.0,0.27,0.06,0.0
31,1.5951245819749904,0.0,1.5951245819749904,0.0,0.0,0.0,0.0,0.0,0.27,0.06,0.0
32,1.6166424023362052,0.0,1.6166424023362052,0.0,0.0,0.0,0.0,0.0,0.27,0.06,0.0
33,1.7001652315337132,0.0,1.7001652315337132,0.0,0.0,0.0,0.0,0.0,0.27,0.06,0.0
34,1.6340436141127916,0.0,1.6340436141127916,0.0,0.0,0.0,0.0,0.0,0.27,0.06,0.0
35,1.6850236565689483,0.07529900068337592,1.6097246558855725,0.0,0.0,0.0,0.0,0.0,0.27,0.06,0.0
36,1.779585526624508,0.1721120015620024,1.6074735250625047,0.0,0.0,0.0,0.0,0.0,0.27,0.06,0.0
37,1.8894549890709855,0.2280484020696532,1.6614065870013321,0.0,0.0,0.0,0.0,0.0,0.27,0.06,0.0
38,2.109430174982026,0.27753060251872885,1.8318995724632967,0.0,0.0,0.0,0.0,0.0,0.27,0.06,0.0
39,2.103577383032096,0.3205586029092297,1.7830187801228659,0.0,0.0,0.0,0.0,0.0,0.27,0.06,0.0
40,2.1028477978664384,0.35713240324115497,1.7597345203272745,0.014019125701991401,0.0,0.0,0.0,0.0,0.27,0.06,0.014019125701991401
41,1.8230427695403884,0.39370620357308067,1.466138347741429,0.0368017817741214,0.0,0.0,0.0,0.0,0.27,0.06,0.0368017817741214
42,1.5341709920954605,0.4173716037878561,1.142604395302671,0.025805006995066798,0.0,0.0,0.0,0.0,0.27,0.06,0.025805006995066798
43,2.0557108527880246,0.4517940041002566,1.6347532252491264,0.0308363765613589,0.0,0.0,0.0,0.0,0.27,0.06,0.0308363765613589
44,2.0209484857585482,0.8670142078685883,1.3272587380276395,0.1733244601376799,0.0,0.0,0.0,0.0,0.27,0.06,0.1733244601376799
45,1.7925662342925635,1.6350640148390252,0.6105723369948532,0.453070117541315,0.0,0.0,0.0,0.0,0.27,0.06,0.453070117541315
46,1.8033148778641515,2.028770218412105,0.42173758024557717,0.6471929207935305,0.0,0.0,0.0,0.0,0.27,0.06,0.42173758024557717
47,5.439976180263225,2.7645490250896705,3.112931598742248,0.43750444356869256,0.0,0.0,0.0,0.0,0.27,0.06,0.43750444356869256
48,5.489937777897701,3.16686082874085,2.878875011504758,0.5557980623479073,0.0,0.0,0.0,0.0,0.27,0.06,0.5557980623479073
49,5.524823006600755,3.4616026314157766,2.548102896902738,0.48488252171776025,0.0,0.0,0.0,0.0,0.27,0.06,0.48488252171776025
50,5.518576417230887,3.7025594336025804,2.4849638297980046,0.6689468461696986,0.0,0.0,0.0,0.0,0.27,0.06,0.6689468461696986
51,5.41381192928541,3.4078176309276538,2.7037834966682324,0.6977891983104765,0.0,0.0,0.0,0.0,0.27,0.06,0.6977891983104765
52,5.281080512193179,3.823037834695982,2.594981354246683,1.136938676749486,0.0,0.0,0.0,0.0,0.27,0.06,1.136938676749486
