t,Load,PV,P_imp,P_exp,P_ch,P_dis,P_curt,E,c_grid,c_sell,P_pv_to_load,P_pv_to_bat,P_pv_to_exp
16248,0.08091288524421775,0.0,0.08091288524421775,0.0,0.0,0.0,0.0,0.18741470149100606,0.14,0.06,0.0,0.0,0.0
16249,0.0678462081240335,0.0,0.0678462081240335,0.0,0.0,0.0,0.0,0.18741470149100606,0.14,0.06,0.0,0.0,0.0
16250,0.0678462081240335,0.008786191868395018,0.059060016255638476,0.0,0.0,0.0,0.0,0.18741470149100606,0.14,0.06,0.008786191868395021,0.0,0.0
16251,0.0678462081240335,0.006000182496377332,0.06184602562765616,0.0,0.0,0.0,0.0,0.18741470149100606,0.14,0.06,0.006000182496377335,0.0,0.0
16252,0.0678462081240335,0.014362225188196914,0.05348398293583658,0.0,0.0,0.0,0.0,0.18741470149100606,0.14,0.06,0.014362225188196916,0.0,0.0
16253,0.08242057875808526,0.047199789976502794,0.03522078878158246,0.0,0.0,0.0,0.0,0.18741470149100606,0.14,0.06,0.047199789976502794,0.0,0.0
16254,0.08242057875808526,0.07490643920659641,0.007514139551488844,0.0,0.0,0.0,0.0,0.18741470149100606,0.14,0.06,0.07490643920659641,0.0,0.0
16255,0.0593026115454515,0.025678978812367848,0.03362363273308365,0.0,0.0,0.0,0.0,0.18741470149100606,0.14,0.06,0.02567897881236785,0.0,0.0
16256,0.0593026115454515,0.02289247105021041,0.03641014049524109,0.0,0.0,0.0,0.0,0.18741470149100606,0.14,0.06,0.02289247105021041,0.0,0.0
16257,0.08744622380430975,0.06227044383893582,0.0,0.0,0.0,0.02517577996537393,0.0,0.18078949623696028,0.24,0.06,0.06227044383893582,0.0,0.0
16258,0.08744622380430975,0.08444613810386067,0.0,0.0,0.0,0.0030000857004490733,0.0,0.18,0.24,0.06,0.08444613810386067,0.0,0.0
16259,0.07035903064714576,0.1423045602482136,0.0,0.07194552960106781,0.0,0.0,0.0,0.18,0.24,0.06,0.07035903064714576,0.0,0.07194552960106781
16260,0.07035903064714576,0.1617526137263286,0.0,0.09139358307918277,0.0,0.0,0.0,0.18,0.24,0.06,0.07035903064714576,0.0,0.09139358307918277
16261,0.0849334012811975,0.16545532519324962,0.0,0.08052192391205212,0.0,0.0,0.0,0.18,0.24,0.06,0.0849334012811975,0.0,0.08052192391205212
16262,0.0849334012811975,0.54137467427251,0.0,0.45644127299131243,0.0,0.0,0.0,0.18,0.24,0.06,0.0849334012811975,0.0,0.45644127299131243
16263,0.0849334012811975,0.7069193929747986,0.0,0.621985991693601,0.0,0.0,0.0,0.18,0.24,0.06,0.0849334012811975,0.0,0.621985991693601
16264,0.0849334012811975,0.9425269145078966,0.0,0.857593513226699,0.0,0.0,0.0,0.18,0.24,0.06,0.0849334012811975,0.0,0.857593513226699
16265,0.05578466001309425,0.6140089751800679,0.0,0.5582243151669735,0.0,0.0,0.0,0.18,0.24,0.06,0.05578466001309425,0.0,0.5582243151669735
