case,house,E_load_kWh,E_pv_kWh,E_imp_kWh,E_exp_kWh,E_ch_kWh,E_dis_kWh,E_curt_kWh,Curt_frac_of_PV,Self_Consumption,PV_surplus_kWh,Surplus_captured_frac,Self_Sufficiency,E_end_kWh,E_min_kWh,E_max_kWh,Cost_total_EUR,Cost_min_step_EUR,Cost_max_step_EUR,P_net_grid_max_kW,P_net_grid_min_kW,P_imp_max_kW,P_exp_max_kW,E_simul_imp_exp_kWh,E_imp_kWh_COMM,E_exp_kWh_COMM,E_curt_kWh_COMM,Curt_frac_of_PV_COMM,Self_Consumption_COMM,PV_surplus_kWh_COMM,Surplus_captured_frac_COMM,Self_Sufficiency_COMM,Simul_frac_of_import,Cost_total_EUR_mean_house,Cost_total_EUR_std_house,Cost_total_EUR_min_house,Cost_total_EUR_max_house,Cost_total_EUR_range_house,Cost_total_EUR_CV_house,Cost_total_EUR_Gini_house
b8_pv01_equal_export__no_deg,Apt1,242.03226949001305,51.4627658608004,191.92069556522503,0.0,13.858378830896328,12.50718689488394,0.0,0.0,1.0,13.858378830896328,1.0,0.2070450111069002,1.78,0.1799999999999998,1.78,38.846271649472314,-6.6613381477509375e-18,0.10478780264241269,1.746463377373545,-1.1102230246251563e-16,1.746463377373545,0.0,-5.5511151231257815e-17,,,,,,,,,,,,,,,,
b8_pv01_equal_export__no_deg,Apt2,117.94368032413539,51.4627658608004,68.04039750850586,0.0,15.994697899188647,14.435214854017751,0.0,0.0,1.0,15.994697899188647,1.0,0.42311112115955885,1.78,0.1799999999999999,3.55,13.767055190575267,-1.6653345369377351e-18,0.07487506106455112,1.2479176844091855,-2.775557561562892e-17,1.2479176844091855,0.0,-6.93889390390723e-18,,,,,,,,,,,,,,,,
b8_pv01_equal_export__no_deg,Apt3,59.43046312832059,51.4627658608004,11.939672959556969,1.697051473714423,23.33255608535745,21.05763186703509,0.0,0.0,0.9670237025677028,25.029607559071874,0.932198238837375,0.799098436541254,1.2,0.1199999999999998,2.4,2.0846080550409045,-0.00670571078813892,0.02919938070881861,0.4866563451469768,-0.447047385875928,0.4866563451469768,0.447047385875928,-1.5612511283791264e-17,,,,,,,,,,,,,,,,
b8_pv01_equal_export__no_deg,Apt4,149.81598662198513,51.4627658608004,99.6752910968527,0.0,13.559695750441016,12.23762541477302,0.0,0.0,1.0,13.559695750441016,1.0,0.33468187645185793,1.78,0.18,2.8768374914099155,20.61421642145693,-1.6653345369377351e-18,0.09863631588882965,1.6439385981471608,-2.775557561562892e-17,1.6439385981471608,0.0,-1.0408340855860844e-17,,,,,,,,,,,,,,,,
b8_pv01_equal_export__no_deg,Apt5,278.96668994884067,51.4627658608004,228.68279642899813,0.0,12.090998368798937,10.912126027841042,0.0,0.0,1.0,12.090998368798937,1.0,0.1802505292981898,2.4,0.24,2.4,46.56815836061335,0.0,0.12077854953705855,2.0129758256176427,0.0,2.0129758256176427,0.0,0.0,,,,,,,,,,,,,,,,
b8_pv01_equal_export__no_deg,Apt6,91.80731761505041,51.4627658608004,43.07071947210409,0.0,27.960694542093112,25.234526824239033,0.0,0.0,1.0,27.960694542093112,1.0,0.5308574458879158,1.2,0.1199999999999999,2.4,7.966942024124372,-6.6613381477509375e-18,0.036015780675282,0.6002630112547,-1.1102230246251563e-16,0.6002630112547,0.0,-3.816391647148975e-17,,,,,,,,,,,,,,,,
b8_pv01_equal_export__no_deg,Apt7,265.99010256848595,51.4627658608004,215.6950891945229,0.0,11.97694858294709,10.80919609610975,0.0,0.0,1.0,11.97694858294709,1.0,0.18908603323318515,2.4,0.2399999999999999,2.845414666151387,44.66687218453743,0.0,0.1043472507940032,1.73912084656672,0.0,1.73912084656672,0.0,0.0,,,,,,,,,,,,,,,,
b8_pv01_equal_export__no_deg,Apt8,42.664936467960885,51.4627658608004,0.005069822054078199,5.300979802640416,35.91712217695557,32.4152027647024,0.0,0.0,0.8969938806441375,41.218101979595986,0.8713919480022507,0.9998811712269188,1.2,0.12,2.4,-0.31734901307085406,-0.009313425330293102,0.000709775087570948,0.0202792882163128,-0.6208950220195402,0.0202792882163128,0.6208950220195402,-3.0791341698588326e-17,,,,,,,,,,,,,,,,
b8_pv01_equal_export__no_deg,_COMMUNITY,1248.651446164792,411.7021268864032,859.0297320478198,6.99803127635484,154.69109223667814,139.60871074360205,0.0,0.0,0.98300219790148,161.689123513033,0.9567192206605611,0.3120340070190825,13.739999999999998,1.38,15.009523799435913,174.19677487274973,-0.009089288571768604,0.2897646158170714,5.3755973778789645,-0.6059525714512403,5.3755973778789645,0.6208950220195402,4.43791370886872,859.0297320478198,6.99803127635484,0.0,0.0,0.98300219790148,161.689123513033,0.9567192206605611,0.3120340070190825,0.005166193372945645,21.774596859093712,17.895835100488956,-0.31734901307085406,46.56815836061335,46.885507373684206,0.8218675742331886,0.45967772856167294
b8_pv01_equal_export__with_deg,Apt1,242.03226949001305,51.4627658608004,191.92069556522503,0.0,13.858378830896328,12.507186894883938,0.0,0.0,1.0,13.858378830896328,1.0,0.2070450111069002,1.78,0.18,1.78,38.846271649472314,0.0,0.10478780264241269,1.746463377373545,0.0,1.746463377373545,0.0,0.0,,,,,,,,,,,,,,,,
