t,Load,PV,c_grid,c_sell,P_imp,P_exp,P_ch,P_dis,E,x,y
66,0.67775,0.022775182699597,0.25,0.05,0.654974817300403,0.0,0.0,0.0,0.5,0,1
67,0.701,0.020071653817990132,0.25,0.05,0.6809283461820098,0.0,0.0,0.0,0.5,0,1
68,0.83825,0.017941600759754466,0.25,0.05,0.8203083992402456,0.0,0.0,0.0,0.5,0,1
69,0.76775,0.014500745819527601,0.25,0.05,0.7532492541804724,0.0,0.0,0.0,0.5,0,1
70,0.894,0.0102406397030562,0.25,0.05,0.8837593602969438,0.0,0.0,0.0,0.5,0,1
71,0.63225,0.0059805335865847995,0.25,0.05,0.6262694664134152,0.0,0.0,-0.0,0.5,0,1
72,0.656,0.0027035288816068,0.25,0.05,0.6532964711183932,0.0,0.0,0.0,0.5,0,1
73,0.6465,0.0,0.25,0.05,0.6465,0.0,0.0,0.0,0.5,0,1
74,0.8755,0.0,0.25,0.05,0.8755,0.0,0.0,0.0,0.5,0,1
75,0.6405,0.0,0.25,0.05,0.6405,0.0,0.0,0.0,0.5,0,1
76,0.70425,0.0,0.25,0.05,0.70425,0.0,0.0,0.0,0.5,0,1
77,0.68,0.0,0.25,0.05,0.68,0.0,0.0,-0.0,0.5,0,1
78,0.74575,0.0,0.25,0.05,0.74575,0.0,0.0,-0.0,0.5,0,1
79,0.78625,0.0,0.25,0.05,0.78625,0.0,0.0,0.0,0.5,0,1
80,0.64975,0.0,0.25,0.05,0.64975,0.0,0.0,-0.0,0.5,0,1
81,0.68325,0.0,0.25,0.05,0.68325,0.0,0.0,-0.0,0.5,0,1
82,0.701,0.0,0.25,0.05,0.701,0.0,0.0,-0.0,0.5,0,1
83,0.68,0.0,0.25,0.05,0.68,0.0,0.0,-0.0,0.5,0,1
84,0.6845,0.0,0.25,0.05,0.6845,0.0,0.0,0.0,0.5,0,1
85,0.6425,0.0,0.25,0.05,0.6425,0.0,0.0,-0.0,0.5,0,1
86,0.701,0.0,0.25,0.05,0.701,0.0,0.0,0.0,0.5,0,1
87,0.59425,0.0,0.25,0.05,0.59425,0.0,0.0,0.0,0.5,0,1
88,0.586,0.0,0.25,0.05,0.586,0.0,0.0,0.0,0.5,0,1
89,0.64975,0.0,0.25,0.05,0.64975,0.0,0.0,0.0,0.5,0,1
90,0.65725,0.0,0.25,0.05,0.65725,0.0,0.0,-0.0,0.5,0,1
91,0.822,0.0,0.25,0.05,0.822,0.0,0.0,0.0,0.5,0,1
92,0.75975,0.0,0.25,0.05,0.75975,0.0,0.0,-0.0,0.5,0,1
93,0.64375,0.0,0.25,0.05,0.64375,0.0,0.0,0.0,0.5,0,1
94,0.62075,0.0,0.25,0.05,0.62075,0.0,0.0,0.0,0.5,0,1
95,0.72925,0.0,0.25,0.05,0.72925,0.0,0.0,0.0,0.5,0,1
96,0.632,0.0,0.25,0.05,0.632,0.0,0.0,-0.0,0.5,0,1
