t,Load,PV,P_imp,P_exp,P_ch,P_dis,P_curt,P_share,E,c_grid,c_sell,P_simul_imp_exp
57,1.415,0.12116724896656109,1.2938327510334389,0.0,0.0,0.0,0.0,0.0,0.7,0.25,0.05,0.0
58,1.7965,0.0895851161223356,1.7069148838776642,0.0,0.0,0.0,0.0,0.0,0.7,0.25,0.05,0.0
59,1.345,0.0809829787717684,1.2640170212282316,0.0,0.0,0.0,0.0,0.0,0.7,0.25,0.05,0.0
60,1.3295,0.08380939532981199,1.245690604670188,0.0,0.0,0.0,0.0,0.0,0.7,0.25,0.05,0.0
61,1.7655,0.092534420356816,1.6729655796431842,0.0,0.0,0.0,0.0,0.0,0.7,0.25,0.05,0.0
62,1.552,0.0979414781200294,1.4540585218799706,0.0,0.0,0.0,0.0,0.0,0.7,0.25,0.05,0.0
63,1.4395,0.0748385949499346,1.3646614050500654,0.0,0.0,0.0,0.0,0.0,0.7,0.25,0.05,0.0
64,1.785,0.055299454396503404,1.7297005456034964,0.0,0.0,0.0,0.0,0.0,0.7,0.25,0.05,0.0
65,1.676,0.0400613825183559,1.635938617481644,0.0,0.0,0.0,0.0,0.0,0.7,0.25,0.05,0.0
66,1.3555,0.0341627740493954,1.3213372259506044,0.0,0.0,0.0,0.0,0.0,0.7,0.25,0.05,0.0
67,1.402,0.030107480726985103,1.3718925192730147,0.0,0.0,0.0,0.0,0.0,0.7,0.25,0.05,0.0
68,1.6765,0.0269124011396316,1.6495875988603683,0.0,0.0,0.0,0.0,0.0,0.7,0.25,0.05,0.0
69,1.5355,0.0217511187292913,1.5137488812707087,0.0,0.0,0.0,0.0,0.0,0.7,0.25,0.05,0.0
70,1.788,0.0153609595545842,1.7726390404454158,0.0,0.0,0.0,0.0,0.0,0.7,0.25,0.05,0.0
71,1.2645,0.0089708003798771,1.2555291996201228,0.0,0.0,0.0,0.0,0.0,0.7,0.25,0.05,0.0
72,1.312,0.0040552933224101,1.3079447066775898,0.0,0.0,0.0,0.0,0.0,0.7,0.25,0.05,0.0
73,1.293,0.0,1.293,0.0,0.0,0.0,0.0,0.0,0.7,0.25,0.05,0.0
74,1.751,0.0,1.751,0.0,0.0,0.0,0.0,0.0,0.7,0.25,0.05,0.0
75,1.281,0.0,1.281,0.0,0.0,0.0,0.0,0.0,0.7,0.25,0.05,0.0
76,1.4085,0.0,1.4085,0.0,0.0,0.0,0.0,0.0,0.7,0.25,0.05,0.0
77,1.36,0.0,1.36,0.0,0.0,0.0,0.0,0.0,0.7,0.25,0.05,0.0
78,1.4915,0.0,1.4915,0.0,0.0,0.0,0.0,0.0,0.7,0.25,0.05,0.0
79,1.5725,0.0,1.5725,0.0,0.0,0.0,0.0,0.0,0.7,0.25,0.05,0.0
80,1.2995,0.0,1.2995,0.0,0.0,0.0,0.0,0.0,0.7,0.25,0.05,0.0
81,1.3665,0.0,1.3665,0.0,0.0,0.0,0.0,0.0,0.7,0.25,0.05,0.0
82,1.402,0.0,1.402,0.0,0.0,0.0,0.0,0.0,0.7,0.25,0.05,0.0
83,1.36,0.0,1.36,0.0,0.0,0.0,0.0,0.0,0.7,0.25,0.05,0.0
84,1.369,0.0,1.369,0.0,0.0,0.0,0.0,0.0,0.7,0.25,0.05,0.0
