house,pwl_degradation_cost_EUR,battery_throughput_kWh,bin_hours_0,bin_hours_1,bin_hours_2
Apt1,7.682851439537165,108.22311975788904,1940.0,220.0,0.0
Apt2,25.248299134118493,493.0554150104166,1503.0,615.0,42.0
Apt3,10.854001547459408,162.2328455176532,1744.0,366.0,50.0
Apt4,5.663414897666199,86.16895855753111,1755.0,405.0,0.0
Apt5,13.399912310577047,199.03798021030522,1774.0,356.0,30.0
Apt6,28.61106901131012,557.3467857754508,1519.0,603.0,38.0
Apt7,14.557136477034323,210.87464199886827,1899.0,261.0,0.0
Apt8,28.018694352053306,589.8203013277545,1421.0,707.0,32.0
