,0.58073974597962,0.3861518734099475,0.1945774848771245
0,0.0,0.0,0.0
1,0.0,0.0,0.0
2,0.0,0.0,0.0
3,0.0,0.0,0.0
4,0.0,0.0,0.0
5,0.0,0.0,0.0
6,0.0,0.0,0.0
7,0.0,0.0,0.0
8,0.0,0.0,0.0
9,0.0,0.0,0.0
10,0.0,0.0,0.0
11,0.0,0.0,0.0
12,0.0,0.0,0.0
13,0.0,0.0,0.0
14,0.0,0.0,0.0
15,0.0,0.0,0.0
16,0.0,0.0,0.0
17,0.0,0.0,0.0
18,0.0,0.0,0.0
19,0.0,0.0,0.0
20,0.0,0.0,0.0
21,0.0,0.0,0.0
22,0.0,0.0,0.0
23,0.0,0.0,0.0
24,0.0,0.0,0.0
25,0.0,0.0,0.0
26,0.0,0.0,0.0
27,0.0,0.0,0.0
28,0.0,0.0,0.0
29,0.0,0.0,0.0
30,0.0,0.0,0.0
31,0.0,0.0,0.0
32,0.0,0.0,0.0
33,0.012391889991264799,0.012391889991264799,0.012391889991264799
34,0.028324319980033864,0.028324319980033864,0.028324319980033864
35,0.0375297239735449,0.0375297239735449,0.0375297239735449
36,0.04567296596780457,0.04567296596780457,0.04567296596780457
37,0.052754045962813065,0.052754045962813065,0.052754045962813065
38,0.058772963958570235,0.058772963958570235,0.058772963958570235
39,0.06479188195432746,0.06479188195432746,0.06479188195432746
40,0.06868647595158217,0.06868647595158217,0.06868647595158217
41,0.07435133994758886,0.07435133994758886,0.07435133994758886
42,0.1426837618994206,0.1426837618994206,0.1426837618994206
43,0.26908103981032155,0.26908103981032155,0.26908103981032155
44,0.3338729217646491,0.3338729217646491,0.3338729217646491
45,0.454959389679295,0.454959389679295,0.454959389679295
46,0.5211674876326233,0.5211674876326233,0.5211674876326233
47,0.5696728855984308,0.5696728855984308,0.5696728855984308
48,0.6093269335704783,0.6093269335704783,0.6093269335704783
49,0.5608215356046707,0.5608215356046707,0.5608215356046707
50,0.6291539575565016,0.6291539575565016,0.6291539575565016
51,0.7049215135030933,0.7049215135030933,0.7049215135030933
52,0.7166052954948566,0.7166052954948566,0.7166052954948566
53,0.6836782735180674,0.6836782735180674,0.6836782735180674
54,0.4963837076500933,0.4963837076500933,0.4963837076500933
55,0.3490972437539175,0.3490972437539175,0.3490972437539175
56,0.25810536581805865,0.25810536581805865,0.25810536581805865
57,0.23332158583552887,0.23332158583552887,0.23332158583552887
58,0.24146482782978862,0.24146482782978862,0.24146482782978862
59,0.26660266181206893,0.26660266181206893,0.26660266181206893
60,0.2821810378010872,0.2821810378010872,0.2821810378010872
61,0.21561888584800784,0.21561888584800784,0.21561888584800784
62,0.15932429988769053,0.15932429988769053,0.15932429988769053
63,0.11542160391863807,0.11542160391863807,0.11542160391863807
64,0.09842701193061773,0.09842701193061773,0.09842701193061773
65,0.08674322993885364,0.08674322993885364,0.08674322993885364
66,0.07753782594534273,0.07753782594534273,0.07753782594534273
67,0.0626675579558249,0.0626675579558249,0.0626675579558249
68,0.04425674996880286,0.04425674996880286,0.04425674996880286
69,0.025845941981780897,0.025845941981780897,0.025845941981780897
70,0.011683781991763934,0.011683781991763934,0.011683781991763934
71,0.0,0.0,0.0
72,0.0,0.0,0.0
73,0.0,0.0,0.0
74,0.0,0.0,0.0
75,0.0,0.0,0.0
76,0.0,0.0,0.0
77,0.0,0.0,0.0
78,0.0,0.0,0.0
79,0.0,0.0,0.0
80,0.0,0.0,0.0
81,0.0,0.0,0.0
82,0.0,0.0,0.0
83,0.0,0.0,0.0
84,0.0,0.0,0.0
85,0.0,0.0,0.0
86,0.0,0.0,0.0
87,0.0,0.0,0.0
88,0.0,0.0,0.0
89,0.0,0.0,0.0
90,0.0,0.0,0.0
91,0.0,0.0,0.0
92,0.0,0.0,0.0
93,0.0,0.0,0.0
94,0.0,0.0,0.0
95,0.0,0.0,0.0
96,0.0,0.0,0.0
97,0.0,0.0,0.0
98,0.0,0.0,0.0
99,0.0,0.0,0.0
100,0.0,0.0,0.0
101,0.0,0.0,0.0
102,0.0,0.0,0.0
103,0.0,0.0,0.0
104,0.0,0.0,0.0
105,0.0,0.0,0.0
106,0.0,0.0,0.0
107,0.0,0.0,0.0
108,0.0,0.0,0.0
109,0.0,0.0,0.0
110,0.0,0.0,0.0
111,0.0,0.0,0.0
112,0.0,0.0,0.0
113,0.0,0.0,0.0
114,0.0,0.0,0.0
115,0.0,0.0,0.0
116,0.0,0.0,0.0
117,0.0,0.0,0.0
118,0.0,0.0,0.0
119,0.0,0.0,0.0
120,0.0,0.0,0.0
121,0.0,0.0,0.0
122,0.0,0.0,0.0
123,0.0,0.0,0.0
124,0.0,0.0,0.0
125,0.0,0.0,0.0
126,0.0,0.0,0.0
127,0.0,0.0,0.0
128,0.0,0.0,0.0
129,0.01593242998876903,0.01593242998876903,0.01593242998876903
130,0.029032427979534665,0.029032427979534665,0.029032427979534665
131,0.038237831973045734,0.038237831973045734,0.038237831973045734
132,0.04744323596655673,0.04744323596655673,0.04744323596655673
133,0.05381620796206439,0.05381620796206439,0.05381620796206439
134,0.059835125957821464,0.059835125957821464,0.059835125957821464
135,0.06549998995382829,0.06549998995382829,0.06549998995382829
136,0.07081079995008463,0.07081079995008463,0.07081079995008463
137,0.07789187994509306,0.07789187994509306,0.07789187994509306
138,0.15472159789093504,0.15472159789093504,0.15472159789093504
139,0.2772242818045813,0.2772242818045813,0.2772242818045813
140,0.33847562376140494,0.33847562376140494,0.33847562376140494
141,0.4524810116810416,0.4524810116810416,0.4524810116810416
142,0.522583703631625,0.522583703631625,0.522583703631625
143,0.564716129601925,0.564716129601925,0.564716129601925
144,0.6142836895669849,0.6142836895669849,0.6142836895669849
145,0.5671945076001783,0.5671945076001783,0.5671945076001783
146,0.6252593635592475,0.6252593635592475,0.6252593635592475
