t,Load,PV,P_imp,P_exp,P_ch,P_dis,P_curt,E,c_grid,c_sell,P_simul_imp_exp
2108,3.0103977941799407,0.0,3.0103977941799407,0.0,0.0,0.0,0.0,18.27695045219212,0.27,0.06,0.0
2109,2.625518509698158,0.0,2.625518509698158,0.0,0.0,0.0,0.0,18.27695045219212,0.27,0.06,0.0
2110,2.387360988033532,0.0,2.387360988033532,0.0,0.0,0.0,0.0,18.27695045219212,0.27,0.06,0.0
2111,2.174769550456092,0.0,2.174769550456092,0.0,0.0,0.0,0.0,18.27695045219212,0.27,0.06,0.0
2112,2.139245457600313,0.0,2.139245457600313,0.0,0.0,0.0,0.0,18.27695045219212,0.27,0.06,0.0
2113,1.8706489723835245,0.0,1.8706489723835245,0.0,0.0,0.0,0.0,18.27695045219212,0.27,0.06,0.0
2114,2.072138316059956,0.0,2.072138316059956,0.0,0.0,0.0,0.0,18.27695045219212,0.27,0.06,0.0
2115,1.3831946797181678,0.0,1.3831946797181682,0.0,0.0,0.0,0.0,18.27695045219212,0.27,0.06,0.0
2116,0.8319418409181043,0.0,0.8319418409181043,0.0,0.0,0.0,0.0,18.27695045219212,0.27,0.06,0.0
2117,0.6595160594382983,0.0,0.6595160594382994,0.0,0.0,0.0,0.0,18.27695045219212,0.27,0.06,0.0
2118,0.5593284162527694,0.0,0.5593284162527693,0.0,0.0,2.775557561562892e-17,0.0,18.27695045219212,0.27,0.06,0.0
2119,0.5688910285531259,0.0,0.5416860664370488,0.0,0.0,0.027204962116077185,0.0,18.269791251635258,0.27,0.06,0.0
2120,0.5096994528306593,0.0,0.40681795580968416,0.0,0.0,0.1028814970209752,0.0,18.242717173471842,0.27,0.06,0.0
2121,0.7827385811039747,0.0,0.7827385811039747,0.0,0.0,-1.3877787807814457e-17,0.0,18.242717173471842,0.27,0.06,0.0
2122,0.7596875661601612,0.0,0.7596875661601612,0.0,0.0,0.0,0.0,18.242717173471842,0.27,0.06,0.0
2123,0.4824936581110575,0.0,0.27489910539159423,0.0,0.0,0.2075945527194632,0.0,18.188087028019353,0.27,0.06,0.0
2124,0.5153652747416612,0.0,0.5153652747416612,0.0,0.0,0.0,0.0,18.188087028019353,0.27,0.06,0.0
2125,0.5603012125571325,0.0,0.5000770483550145,0.0,0.0,0.060224164202118,0.0,18.17223856375564,0.27,0.06,0.0
2126,0.5300648773410201,0.0,0.5032093262151067,0.0,0.0,0.0268555511259135,0.0,18.165171313459346,0.27,0.06,0.0
2127,0.5882153308093943,0.0,0.5882153308093945,0.0,0.0,0.0,0.0,18.165171313459346,0.27,0.06,0.0
2128,0.578067375416938,0.0,0.5780673754169384,0.0,0.0,0.0,0.0,18.165171313459346,0.27,0.06,0.0
