case,house,E_load_kWh,E_pv_kWh,E_imp_kWh,E_exp_kWh,E_ch_kWh,E_dis_kWh,E_curt_kWh,Curt_frac_of_PV,Self_Consumption,Self_Sufficiency,E_end_kWh,E_min_kWh,E_max_kWh,Cost_total_EUR,Cost_min_step_EUR,Cost_max_step_EUR,P_net_grid_max_kW,P_net_grid_min_kW,P_imp_max_kW,P_exp_max_kW,E_simul_imp_exp_kWh,E_imp_kWh_COMM,E_exp_kWh_COMM,E_curt_kWh_COMM,Curt_frac_of_PV_COMM,Self_Consumption_COMM,Self_Sufficiency_COMM,Simul_frac_of_import,Cost_total_EUR_mean_house,Cost_total_EUR_std_house,Cost_total_EUR_min_house,Cost_total_EUR_max_house,Cost_total_EUR_range_house,Cost_total_EUR_CV_house,Cost_total_EUR_Gini_house,pwl_degradation_cost_EUR,battery_throughput_kWh,bin_hours_0,bin_hours_1,bin_hours_2
b8_pv01_equal_export__1month,Apt1,45.473381948372435,53.693229831042984,0.0,4.504399458986109,38.10716331984028,34.39171489615585,0.0,0.0,0.9161086141928853,1.0,5.0,1.0,6.165377243456061,-0.27026396753916654,-0.008024968989873857,1.249000902703301e-17,8.326672684688674e-16,-0.5349979326582571,0.0,0.5349979326582571,-2.6085904270001237e-15,,,,,,,,,,,,,,,,,,,
b8_pv01_equal_export__1month,Apt2,256.22147327771233,53.693229831042984,203.91386342970668,1.8924489400020533e-05,14.211292908184195,12.825691849636238,0.0,0.0,0.9999996475442162,0.2041499846943378,5.0,1.0,5.0,55.056741990551444,-1.1354693640389102e-06,0.1178862779727143,1.746463377373545,-7.569795760259401e-05,1.746463377373545,7.569795760259401e-05,-1.5300261058115439e-15,,,,,,,,,,,,,,,,,,,
b8_pv01_equal_export__1month,Apt3,126.44376928830724,53.693229831042984,74.36964791624557,-2.0383000842727486e-16,16.60624060493666,14.987132145955334,0.0,0.0,1.0,0.41183619932530097,5.0,1.0,5.0,20.079804937386307,-1.061650767297806e-17,0.08423444369762002,1.2479176844091855,-7.077671781985373e-16,1.2479176844091855,7.077671781985373e-16,-1.7564075194265172e-15,,,,,,,,,,,,,,,,,,,
b8_pv01_equal_export__1month,Apt4,63.713560131774756,53.693229831042984,12.543250419633662,1.0113437864944785e-15,25.876103783609057,23.353183664707174,0.0,0.0,1.0,0.8031305989856594,5.0,1.0,6.005293577182219,3.3866776133010887,-1.0824674490095277e-17,0.03284930329742094,0.4866563451469768,-7.2164496600635185e-16,0.4866563451469768,7.2164496600635185e-16,-2.0144476364780672e-15,,,,,,,,,,,,,,,,,,,
b8_pv01_equal_export__1month,Apt5,160.61308241416606,53.693229831042984,108.29381172062129,5.759281940243e-16,14.091888589725528,12.717929452227288,0.0,0.0,1.0,0.3257472548757349,5.0,1.0,5.0,29.23932916456775,-1.3322676295501878e-17,0.11096585537493336,1.6439385981471608,-8.881784197001252e-16,1.6439385981471608,8.881784197001252e-16,-8.569533971325427e-16,,,,,,,,,,,,,,,,,,,
b8_pv01_equal_export__1month,Apt6,295.3211835955126,53.693229831042984,242.83630509157257,1.734723475976807e-16,12.393346944646204,11.184995617543205,0.0,0.0,1.0,0.17772134685680413,5.0,1.0,5.0,65.5658023747246,-1.249000902703301e-17,0.1358758682291909,2.0129758256176427,-8.326672684688674e-16,2.0129758256176427,8.326672684688674e-16,-1.4328815911568427e-15,,,,,,,,,,,,,,,,,,,
b8_pv01_equal_export__1month,Apt7,96.88521535118599,53.693229831042984,46.02351355882759,1.848347863653288e-15,29.041313217277736,26.20978517859315,0.0,0.0,1.0,0.5249686611935244,5.0,1.0,5.712785572035045,12.426348660883452,-1.3322676295501878e-17,0.04051775325969226,0.6002630112547,-8.881784197001252e-16,0.6002630112547,8.881784197001252e-16,-2.4077961846558082e-15,,,,,,,,,,,,,,,,,,,
b8_pv01_equal_export__1month,Apt8,280.7021165424741,53.693229831042984,228.2142691348236,4.49293380277993e-16,12.362896650179719,11.157514226787198,0.0,0.0,1.0,0.18698771514146503,5.0,0.9999999999999998,5.0,61.61785266640238,-1.1657341758564145e-17,0.11739065714325361,1.73912084656672,-7.771561172376097e-16,1.73912084656672,7.771561172376097e-16,-8.482797797526587e-16,,,,,,,,,,,,,,,,,,,
b8_pv01_equal_export__1month,_COMMUNITY,1325.3737825495054,429.5458386483439,916.194661271431,4.504418383475513,162.69024601839936,146.82794703160545,0.0,0.0,0.9895135327171377,0.3087273391593521,40.0,8.134838622882278,40.50425639580748,247.10229344027786,-0.008024968989873859,0.3433572968159745,5.086774767644066,-0.5349979326582572,5.086774767644066,0.5349979326582572,3.7013706913036386,916.194661271431,4.504418383475513,0.0,0.0,0.9895135327171377,0.3087273391593521,0.004039939161146317,30.887786680034733,24.795488057737604,-0.27026396753916654,65.5658023747246,65.83606634226376,0.8027602726797167,0.449742408042651,,,,,
b8_pv01_equal_export__1year,Apt1,466.8050932923151,1571.6208418132471,17.25222895730292,1094.0525423345944,287.33779634503236,259.32236120139163,0.0,0.0,0.30386992000415414,0.9630419007735643,5.0,0.9999999999999998,10.0,-60.98505072160387,-0.02294877374495423,0.04632114408142219,0.686239171576625,-1.5299182496636152,0.686239171576625,1.5299182496636152,-6.360493728929661e-14,,,,,,,,,,,,,,,,,,,
